Recombination percentile,Remaining sites
0.0,492184
0.01,490728
0.02,488155
0.03,485583
0.04,471186
0.05,471186
0.06,471186
0.07,470096
0.08,465683
0.09,463164
0.1,444045
0.11,444045
0.12,444045
0.13,439575
0.14,439575
0.15,422931
0.16,422931
0.17,418964
0.18,416539
0.19,415446
0.2,406737
0.21,399733
0.22,399733
0.23,387849
0.24,387849
0.25,387849
0.26,377365
0.27,377365
0.28,372695
0.29,361508
0.3,361508
0.31,353556
0.32,346530
0.33,346530
0.34,333659
0.35000000000000003,333659
0.36,333659
0.37,325735
0.38,325734
0.39,312076
0.4,312076
0.41000000000000003,312046
0.42,304546
0.43,298664
0.44,286537
0.45,286537
0.46,286537
0.47000000000000003,278677
0.48,268787
0.49,268787
0.5,261636
0.51,260043
0.52,253262
0.53,250626
0.54,242950
0.55,231561
0.56,231561
0.5700000000000001,228263
0.58,220602
0.59,212950
0.6,211706
0.61,206068
0.62,205201
0.63,200236
0.64,194335
0.65,189760
0.66,185253
0.67,178602
0.68,178602
0.6900000000000001,171865
0.7000000000000001,171865
0.71,160332
0.72,155518
0.73,150147
0.74,142806
0.75,133865
0.76,127798
0.77,125839
0.78,117705
0.79,112744
0.8,104526
0.81,104095
0.8200000000000001,98099
0.8300000000000001,94415
0.84,90147
0.85,83544
0.86,81442
0.87,81080
0.88,76642
0.89,76642
0.9,62456
0.91,55921
0.92,48928
0.93,45497
0.9400000000000001,40354
0.9500000000000001,32580
0.96,24946
0.97,21459
0.98,18273
0.99,13822
1.0,0
