Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	43	G	2	556258.5.peg.2932.site.1
-A-	---	A	42	G	6	556258.5.peg.2932.site.2
-A-	---	A	42	G	6	556258.5.peg.2932.site.3
-A-	---	A	31	G	17	556258.5.peg.2932.site.4
-A-	---	A	30	G	17	556258.5.peg.2932.site.5
-A-	---	A	32	G	12	556258.5.peg.2932.site.6
-A-	---	A	35	G	7	556258.5.peg.2932.site.7
-A-	---	A	38	G	0	556258.5.peg.2932.site.8
-A-	---	A	34	G	0	556258.5.peg.2932.site.9
-A-	---	A	24	G	16	556258.5.peg.2932.site.10
-A-	---	A	36	G	1	556258.5.peg.2932.site.11
-A-	---	A	14	G	20	556258.5.peg.2932.site.12
-A-	---	A	1	G	38	556258.5.peg.2932.site.13
-A-	---	A	1	G	43	556258.5.peg.2932.site.14
-A-	---	A	28	G	12	556258.5.peg.2932.site.15
-A-	---	A	18	G	18	556258.5.peg.2932.site.16
-A-	---	A	36	G	0	556258.5.peg.2932.site.17
-A-	---	A	46	G	1	556258.5.peg.2932.site.18
-A-	---	A	46	G	1	556258.5.peg.2932.site.19
-A-	---	A	46	G	0	556258.5.peg.2932.site.20
-A-	---	A	46	G	0	556258.5.peg.2932.site.21
-A-	---	A	25	G	0	556258.5.peg.3783.site.1
-A-	---	A	24	G	0	556258.5.peg.3783.site.2
-A-	---	A	2	G	14	556258.5.peg.4072.site.1
-A-	---	A	15	G	1	556258.5.peg.4072.site.2
-A-	---	A	1	G	16	556258.5.peg.4072.site.3
-A-	---	A	38	G	8	556258.5.peg.4072.site.4
-A-	---	A	20	G	27	556258.5.peg.4072.site.5
-A-	---	A	42	G	1	556258.5.peg.4072.site.6
-A-	---	A	44	G	0	556258.5.peg.4072.site.7
-A-	---	A	37	G	5	556258.5.peg.4072.site.8
-A-	---	A	35	G	2	556258.5.peg.4072.site.9
-A-	---	A	3	G	2	556258.5.peg.4072.site.10
-A-	---	A	38	G	10	556258.5.peg.4073.site.1
-A-	---	A	46	G	2	556258.5.peg.4073.site.2
-A-	---	A	17	G	32	556258.5.peg.4073.site.3
-A-	---	A	44	G	5	556258.5.peg.4073.site.4
-A-	---	A	41	G	8	556258.5.peg.4073.site.5
-A-	---	A	26	G	23	556258.5.peg.4073.site.6
-A-	---	A	48	G	1	556258.5.peg.4073.site.7
-A-	---	A	27	G	19	556258.5.peg.4073.site.8
-A-	---	A	33	G	5	556258.5.peg.4073.site.9
-A-	---	A	39	G	4	556258.5.peg.4073.site.10
-A-	---	A	46	G	1	556258.5.peg.4073.site.11
-A-	---	A	30	G	19	556258.5.peg.4073.site.12
-A-	---	A	2	G	47	556258.5.peg.4073.site.13
-A-	---	A	18	G	28	556258.5.peg.4073.site.14
-A-	---	A	30	G	2	556258.5.peg.4073.site.15
-A-	---	A	42	G	1	556258.5.peg.4073.site.16
-A-	---	A	37	G	2	556258.5.peg.4073.site.17
-A-	---	A	36	G	2	556258.5.peg.4073.site.18
-A-	---	A	46	G	1	556258.5.peg.4073.site.19
-A-	---	A	47	G	1	556258.5.peg.4073.site.20
-A-	---	A	24	G	25	556258.5.peg.4073.site.21
-A-	---	A	39	G	10	556258.5.peg.4073.site.22
-A-	---	A	39	G	10	556258.5.peg.4073.site.23
-A-	---	A	47	G	1	556258.5.peg.4073.site.24
-A-	---	A	32	G	16	556258.5.peg.4073.site.25
-A-	---	A	1	G	47	556258.5.peg.4073.site.26
-A-	---	A	43	G	1	556258.5.peg.4073.site.27
-A-	---	A	44	G	1	556258.5.peg.4073.site.28
-A-	---	A	46	G	0	556258.5.peg.4073.site.29
-A-	---	A	17	G	23	556258.5.peg.4073.site.30
-A-	---	A	29	G	3	556258.5.peg.4073.site.31
-A-	---	A	32	G	17	556258.5.peg.3419.site.1
-A-	---	A	47	G	2	556258.5.peg.3419.site.2
-A-	---	A	42	G	7	556258.5.peg.3419.site.3
-A-	---	A	23	G	26	556258.5.peg.3419.site.4
-A-	---	A	49	G	0	556258.5.peg.3419.site.5
-A-	---	A	36	G	13	556258.5.peg.3419.site.6
-A-	---	A	38	G	11	556258.5.peg.3419.site.7
-A-	---	A	31	G	18	556258.5.peg.3419.site.8
-A-	---	A	48	G	1	556258.5.peg.3419.site.9
-A-	---	A	48	G	1	556258.5.peg.3419.site.10
-A-	---	A	41	G	8	556258.5.peg.3419.site.11
-A-	---	A	33	G	16	556258.5.peg.3419.site.12
-A-	---	A	48	G	1	556258.5.peg.3419.site.13
