species_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
Streptococcus_mitis_60474	1923145	452195	0.235133076289	5.92342462876	225493	27381
Streptococcus_mitis_61876	2029198	167231	0.0824123619282	6.61202767429	192609	11289
Streptococcus_mitis_61874	1873702	265813	0.141865141842	4.04083697938	182695	10974
Streptococcus_mitis_60473	1986223	335500	0.168913561065	11.8857406855	314307	40774
Streptococcus_mitis_60170	1873245	242782	0.129605043654	8.6428483166	151907	21460
Streptococcus_mitis_60172	1943773	467372	0.240445772217	7.18462167182	244003	34315
Gemella_haemolysans_61762	1916192	1345275	0.702056474508	28.7884194681	862308	395014
Streptococcus_mitis_61110	2136987	244200	0.114273039565	11.4344021294	213963	28568
Haemophilus_paraphrohaemolyticus_58563	2021208	1681182	0.831770901362	10.5719654386	243694	183613
Streptococcus_mitis_61104	1956867	298835	0.152710940498	5.82254755969	204585	17791
Streptococcus_mitis_61105	2127862	280005	0.131589830544	12.1543829574	313648	34783
Streptococcus_pseudopneumoniae_58459	2190731	112246	0.0512367789564	7.52388503822	123096	8639
Streptococcus_mitis_58331	1943752	105269	0.0541576291626	6.41841377804	165593	6936
Streptococcus_mitis_58288	1831081	371119	0.20267754403	5.09582371153	208843	19353
