Recombination percentile,Remaining sites
0.0,1716927
0.01,1716927
0.02,1716927
0.03,1716927
0.04,1665846
0.05,1665846
0.06,1665846
0.07,1665846
0.08,1578653
0.09,1578653
0.1,1578653
0.11,1578653
0.12,1578653
0.13,1578653
0.14,1540269
0.15,1486421
0.16,1486421
0.17,1486421
0.18,1444960
0.19,1444960
0.2,1444960
0.21,1392847
0.22,1444960
0.23,1444960
0.24,1392847
0.25,1358088
0.26,1358088
0.27,1358088
0.28,1312057
0.29,1312057
0.3,1312057
0.31,1284816
0.32,1284816
0.33,1234706
0.34,1234706
0.35000000000000003,1234706
0.36,1179259
0.37,1231838
0.38,1231838
0.39,1128205
0.4,1128205
0.41000000000000003,1128205
0.42,1098395
0.43,1098395
0.44,1077490
0.45,1058074
0.46,1041408
0.47000000000000003,1020938
0.48,1003311
0.49,965521
0.5,965521
0.51,943945
0.52,900830
0.53,900830
0.54,900830
0.55,881717
0.56,859982
0.5700000000000001,823840
0.58,823840
0.59,823840
0.6,784305
0.61,784305
0.62,749086
0.63,721762
0.64,721762
0.65,688718
0.66,675778
0.67,644598
0.68,627048
0.6900000000000001,596875
0.7000000000000001,596875
0.71,573948
0.72,558082
0.73,536804
0.74,524867
0.75,505376
0.76,480367
0.77,469037
0.78,424549
0.79,424549
0.8,403765
0.81,378161
0.8200000000000001,368070
0.8300000000000001,360859
0.84,331416
0.85,307610
0.86,285376
0.87,266537
0.88,238319
0.89,225887
0.9,203680
0.91,184917
0.92,165942
0.93,142681
0.9400000000000001,120408
0.9500000000000001,108334
0.96,86624
0.97,71695
0.98,49371
0.99,30545
1.0,0
