Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	35	G	1	592028.3.peg.1199.site.1
-A-	---	A	16	G	8	592028.3.peg.1199.site.2
-A-	---	A	28	G	1	592028.3.peg.1199.site.3
-A-	---	A	30	G	1	592028.3.peg.1199.site.4
-A-	---	A	30	G	1	592028.3.peg.1199.site.5
-A-	---	A	29	G	2	592028.3.peg.1199.site.6
-A-	---	A	28	G	6	592028.3.peg.1199.site.7
-A-	---	A	28	G	6	592028.3.peg.1199.site.8
-A-	---	A	22	G	13	592028.3.peg.1199.site.9
-A-	---	A	35	G	1	592028.3.peg.1199.site.10
-A-	---	A	21	G	11	592028.3.peg.1199.site.11
-A-	---	A	28	G	4	592028.3.peg.1199.site.12
-A-	---	A	30	G	2	592028.3.peg.1199.site.13
-A-	---	A	22	G	4	592028.3.peg.1199.site.14
-A-	---	A	22	G	4	592028.3.peg.1199.site.15
-A-	---	A	22	G	8	592028.3.peg.1199.site.16
-A-	---	A	34	G	1	592028.3.peg.1199.site.17
-A-	---	A	27	G	1	592028.3.peg.1198.site.1
-A-	---	A	27	G	1	592028.3.peg.1198.site.2
-A-	---	A	26	G	1	592028.3.peg.1198.site.3
-A-	---	A	26	G	1	592028.3.peg.1198.site.4
-A-	---	A	20	G	6	592028.3.peg.1198.site.5
-A-	---	A	25	G	1	592028.3.peg.1198.site.6
-A-	---	A	23	G	2	592028.3.peg.1198.site.7
-A-	---	A	32	G	4	592028.3.peg.1198.site.8
-A-	---	A	34	G	1	592028.3.peg.1198.site.9
-A-	---	A	34	G	1	592028.3.peg.1198.site.10
-A-	---	A	31	G	4	592028.3.peg.1198.site.11
-A-	---	A	32	G	1	592028.3.peg.1198.site.12
-A-	---	A	27	G	6	592028.3.peg.1198.site.13
-A-	---	A	32	G	1	592028.3.peg.1198.site.14
-A-	---	A	26	G	0	592028.3.peg.1198.site.15
-A-	---	A	35	G	1	592028.3.peg.1195.site.1
-A-	---	A	35	G	0	592028.3.peg.1195.site.2
-A-	---	A	10	G	26	592028.3.peg.1195.site.3
-A-	---	A	35	G	1	592028.3.peg.1195.site.4
-A-	---	A	35	G	1	592028.3.peg.1195.site.5
-A-	---	A	32	G	4	592028.3.peg.1195.site.6
-A-	---	A	36	G	0	592028.3.peg.1195.site.7
-A-	---	A	35	G	1	592028.3.peg.1195.site.8
-A-	---	A	29	G	2	592028.3.peg.1195.site.9
-A-	---	A	28	G	4	592028.3.peg.1195.site.10
-A-	---	A	13	G	20	592028.3.peg.1195.site.11
-A-	---	A	21	G	12	592028.3.peg.1195.site.12
-A-	---	A	6	G	26	592028.3.peg.1195.site.13
-A-	---	A	35	G	1	592028.3.peg.1194.site.1
-A-	---	A	36	G	0	592028.3.peg.1194.site.2
-A-	---	A	23	G	1	592028.3.peg.1194.site.3
-A-	---	A	31	G	4	592028.3.peg.1194.site.4
-A-	---	A	35	G	1	592028.3.peg.1194.site.5
-A-	---	A	21	G	15	592028.3.peg.1194.site.6
-A-	---	A	34	G	2	592028.3.peg.1194.site.7
-A-	---	A	34	G	1	592028.3.peg.1194.site.8
-A-	---	A	31	G	3	592028.3.peg.1194.site.9
-A-	---	A	34	G	1	592028.3.peg.1194.site.10
-A-	---	A	34	G	1	592028.3.peg.1194.site.11
-A-	---	A	32	G	3	592028.3.peg.1194.site.12
-A-	---	A	33	G	3	592028.3.peg.1197.site.1
-A-	---	A	12	G	19	592028.3.peg.1197.site.2
-A-	---	A	14	G	10	592028.3.peg.1197.site.3
-A-	---	A	20	G	1	592028.3.peg.1197.site.4
-A-	---	A	20	G	14	592028.3.peg.1197.site.5
-A-	---	A	7	G	28	592028.3.peg.1197.site.6
-A-	---	A	19	G	16	592028.3.peg.1197.site.7
-A-	---	A	32	G	3	592028.3.peg.1197.site.8
-A-	---	A	35	G	1	592028.3.peg.1197.site.9
-A-	---	A	30	G	6	592028.3.peg.1197.site.10
-A-	---	A	19	G	12	592028.3.peg.1197.site.11
-A-	---	A	25	G	1	592028.3.peg.1197.site.12
-A-	---	A	0	G	17	592028.3.peg.1197.site.13
-A-	---	A	29	G	3	592028.3.peg.1197.site.14
-A-	---	A	11	G	12	592028.3.peg.1197.site.15
-A-	---	A	11	G	9	592028.3.peg.1197.site.16
