"","Alistipes_finegoldii_56071","Alistipes_onderdonkii_55464","Alistipes_putredinis_61533","Alistipes_shahii_62199","Bacteroidales_bacterium_58650","Bacteroides_caccae_53434","Bacteroides_cellulosilyticus_58046","Bacteroides_massiliensis_44749","Bacteroides_stercoris_56735","Bacteroides_thetaiotaomicron_56941","Bacteroides_vulgatus_57955","Dialister_invisus_61905","Eubacterium_eligens_61678","Eubacterium_rectale_56927","Eubacterium_siraeum_57634","Parabacteroides_distasonis_56985","Parabacteroides_merdae_56972","Ruminococcus_bromii_62047"
"Alistipes_finegoldii_56071",0,38.0396507550541,44.057916855829,0.768849869126321,2.38459248629918,119.664743510165,78.1430730023506,129.681155849246,102.224633339961,95.3283647528179,18.9802328184293,15.8353172226127,1.43635786012831,15.6392985862037,17.3770723173575,243.668674376788,109.210601992129,1.74282636685353
"Alistipes_onderdonkii_55464",48.7556140016577,0,0.0472608634002522,111.703467068649,148.362388056855,573.630520804219,740.934201238472,372.088157253157,1227.22435173987,647.761594074797,122.89821084,385.897007325444,98.3230808465962,198.356204481861,300.369674993953,1092.43430277542,728.252025240331,173.185933327082
"Alistipes_putredinis_61533",26.2490763683177,0.0793341162478136,0,127.710693215881,98.1786942673354,206.747423893703,387.280845084022,278.879838214629,354.27131480142,421.389418056667,167.540904723606,167.716714816132,153.522792448734,185.51439348313,148.151028214048,602.077339161502,228.354384821821,132.871982775901
"Alistipes_shahii_62199",0.492269967941408,115.648450061677,149.007201676496,0,0.587217205596556,127.822096918772,128.627374203126,98.7746763238674,266.509701932095,163.601395678333,8.50236223129769,22.8120413245345,0.921988828513804,22.5128303099484,13.9965235913315,304.162341320053,195.505019376618,0.86064484567082
"Bacteroidales_bacterium_58650",3.35187393344581,156.54407147667,113.711291327898,0.666632745670629,0,90.9659533563693,119.905899127721,114.780225892149,109.486552559823,101.318889966596,8.03724642249172,8.11426468626346,0.0394864876179243,10.6287683036957,5.79112418791062,175.940818277571,156.906178645339,0.0046653476795018
"Bacteroides_caccae_53434",94.2721520311985,755.774605111513,454.392140860258,84.7129432404082,142.65867790551,0,3.47373320003999,3.86933280734475,7.0049571600646,3.47752521916634,47.1714914738583,28.4810461664926,66.3207754605046,55.9956611901407,92.7547938224866,102.290941935331,29.2701931238931,108.568145586013
"Bacteroides_cellulosilyticus_58046",104.102843615276,585.541289190707,216.717803023863,83.8423360078147,84.7772359042488,2.29806742572055,0,12.6055709648691,21.16779800039,10.0396293713809,22.5601593668181,55.0060662314084,82.5621357609376,56.5334603443588,50.0652228992522,87.3241752494415,32.1058444508727,64.675091427895
"Bacteroides_massiliensis_44749",104.463477237267,415.174443817919,259.061290609667,103.958809369826,91.0216865320072,3.49613009223064,11.3333625264912,0,0.0665178857559274,0.191251220383382,55.7124653224984,47.0980982966075,103.962419001886,59.6723771320784,87.0631218130202,33.1382831007101,7.11550723925884,107.874274048799
"Bacteroides_stercoris_56735",115.972268400351,800.675800152392,238.134161247341,117.41707959712,222.853151754432,9.2431839501847,18.397187444218,0.0662460617083776,0,0.978386114683102,59.966565057941,154.789201701392,121.080826107142,182.821565021709,185.809424500854,46.9530942720012,10.7275610357849,182.202949401561
"Bacteroides_thetaiotaomicron_56941",103.114359260769,773.840605042388,439.867886214121,124.560867497372,99.2367715306938,2.85065425115781,9.26461665841646,0.248403103768105,0.635973976599787,0,72.752378620809,70.0301289308728,105.867040181442,92.1056380971621,53.2378515905442,43.332795654796,10.9815534526323,105.748729511494
"Bacteroides_vulgatus_57955",12.2052561867817,239.433357181827,141.005537038354,10.8551601694605,10.1466119818911,60.0086386777692,23.5527517291655,57.8015979250251,74.4719857514117,59.0739650287809,0,0,5.20963974212991,0.0150404843619508,0.319754601142491,154.66408999218,91.6624440073685,5.19973562534185
"Dialister_invisus_61905",16.7578507928999,276.896016919139,234.856856309067,18.913038174164,10.3610155554878,47.3996931368755,50.3549782291121,65.3966617282221,143.632084089526,70.245782389818,0,0,5.63515671240079,0.019558435656683,0.304513610000241,257.250995640062,145.196246564949,7.19349973799307
"Eubacterium_eligens_61678",2.9808358499477,150.21873007649,94.6027304933429,1.79630332352794,0.0542018379420236,103.540061523436,53.5155279296802,71.5269077070567,172.841504810272,102.572454175646,7.09117694630515,4.71798091461759,0,12.4192442578059,5.46632134288032,283.570541146549,128.303592751851,0.030479604307875
