Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	57	G	0	717959.3.peg.2431.site.1
-A-	---	A	56	G	1	717959.3.peg.2431.site.2
-A-	---	A	57	G	0	717959.3.peg.2431.site.3
-A-	---	A	53	G	4	717959.3.peg.2431.site.4
-A-	---	A	55	G	2	717959.3.peg.2431.site.5
-A-	---	A	57	G	0	717959.3.peg.2431.site.6
-A-	---	A	56	G	1	717959.3.peg.2431.site.7
-A-	---	A	56	G	1	717959.3.peg.2431.site.8
-A-	---	A	57	G	0	717959.3.peg.2431.site.9
-A-	---	A	57	G	0	717959.3.peg.2431.site.10
-A-	---	A	56	G	1	717959.3.peg.2431.site.11
-A-	---	A	56	G	1	717959.3.peg.2430.site.1
-A-	---	A	12	G	45	717959.3.peg.2430.site.2
-A-	---	A	56	G	1	717959.3.peg.2430.site.3
-A-	---	A	53	G	4	717959.3.peg.2430.site.4
-A-	---	A	57	G	0	717959.3.peg.2430.site.5
-A-	---	A	56	G	1	717959.3.peg.2430.site.6
-A-	---	A	56	G	1	717959.3.peg.2430.site.7
-A-	---	A	56	G	1	717959.3.peg.2430.site.8
-A-	---	A	46	G	11	717959.3.peg.2430.site.9
-A-	---	A	56	G	1	717959.3.peg.2430.site.10
-A-	---	A	57	G	0	717959.3.peg.2430.site.11
-A-	---	A	0	G	57	717959.3.peg.2430.site.12
-A-	---	A	57	G	0	717959.3.peg.2430.site.13
-A-	---	A	57	G	0	717959.3.peg.2430.site.14
-A-	---	A	56	G	1	717959.3.peg.2430.site.15
-A-	---	A	56	G	1	717959.3.peg.2430.site.16
-A-	---	A	51	G	0	717959.3.peg.2430.site.17
-A-	---	A	56	G	1	717959.3.peg.2430.site.18
-A-	---	A	50	G	7	717959.3.peg.2430.site.19
-A-	---	A	53	G	0	717959.3.peg.2436.site.1
-A-	---	A	28	G	26	717959.3.peg.2436.site.2
-A-	---	A	1	G	53	717959.3.peg.2436.site.3
-A-	---	A	47	G	7	717959.3.peg.2436.site.4
-A-	---	A	54	G	0	717959.3.peg.2436.site.5
-A-	---	A	54	G	0	717959.3.peg.2436.site.6
-A-	---	A	53	G	1	717959.3.peg.2436.site.7
-A-	---	A	45	G	7	717959.3.peg.2436.site.8
