Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	38	G	8	1262914.3.peg.658.site.1
-A-	---	A	6	G	40	1262914.3.peg.658.site.2
-A-	---	A	43	G	6	1262914.3.peg.658.site.3
-A-	---	A	48	G	1	1262914.3.peg.658.site.4
-A-	---	A	44	G	3	1262914.3.peg.658.site.5
-A-	---	A	44	G	3	1262914.3.peg.658.site.6
-A-	---	A	43	G	3	1262914.3.peg.658.site.7
-A-	---	A	44	G	5	1262914.3.peg.658.site.8
-A-	---	A	46	G	3	1262914.3.peg.658.site.9
-A-	---	A	46	G	3	1262914.3.peg.658.site.10
-A-	---	A	25	G	24	1262914.3.peg.658.site.11
-A-	---	A	44	G	5	1262914.3.peg.658.site.12
-A-	---	A	46	G	3	1262914.3.peg.658.site.13
-A-	---	A	46	G	3	1262914.3.peg.658.site.14
-A-	---	A	48	G	1	1262914.3.peg.658.site.15
-A-	---	A	45	G	4	1262914.3.peg.658.site.16
-A-	---	A	46	G	1	1262914.3.peg.658.site.17
-A-	---	A	12	G	36	1262914.3.peg.658.site.18
-A-	---	A	48	G	1	1262914.3.peg.658.site.19
-A-	---	A	46	G	1	1262914.3.peg.658.site.20
-A-	---	A	47	G	1	1262914.3.peg.658.site.21
-A-	---	A	36	G	10	1262914.3.peg.658.site.22
-A-	---	A	45	G	3	1262914.3.peg.659.site.1
-A-	---	A	39	G	4	1262914.3.peg.659.site.2
-A-	---	A	47	G	1	1262914.3.peg.659.site.3
-A-	---	A	48	G	1	1262914.3.peg.659.site.4
-A-	---	A	6	G	43	1262914.3.peg.659.site.5
-A-	---	A	28	G	21	1262914.3.peg.659.site.6
-A-	---	A	48	G	1	1262914.3.peg.659.site.7
-A-	---	A	49	G	0	1262914.3.peg.659.site.8
-A-	---	A	41	G	8	1262914.3.peg.659.site.9
-A-	---	A	48	G	1	1262914.3.peg.659.site.10
-A-	---	A	48	G	1	1262914.3.peg.659.site.11
-A-	---	A	44	G	5	1262914.3.peg.659.site.12
-A-	---	A	35	G	13	1262914.3.peg.659.site.13
-A-	---	A	45	G	2	1262914.3.peg.659.site.14
-A-	---	A	44	G	1	1262914.3.peg.659.site.15
-A-	---	A	48	G	1	1262914.3.peg.659.site.16
-A-	---	A	47	G	1	1262914.3.peg.659.site.17
-A-	---	A	45	G	2	1262914.3.peg.659.site.18
-A-	---	A	43	G	2	1262914.3.peg.659.site.19
-A-	---	A	35	G	11	1262914.3.peg.659.site.20
-A-	---	A	40	G	7	1262914.3.peg.659.site.21
-A-	---	A	47	G	1	1262914.3.peg.659.site.22
-A-	---	A	44	G	4	1262914.3.peg.659.site.23
-A-	---	A	46	G	1	1262914.3.peg.659.site.24
-A-	---	A	48	G	1	1262914.3.peg.659.site.25
-A-	---	A	6	G	43	1262914.3.peg.659.site.26
-A-	---	A	48	G	1	1262914.3.peg.650.site.1
-A-	---	A	46	G	3	1262914.3.peg.650.site.2
-A-	---	A	5	G	44	1262914.3.peg.650.site.3
-A-	---	A	41	G	7	1262914.3.peg.650.site.4
-A-	---	A	3	G	45	1262914.3.peg.650.site.5
-A-	---	A	48	G	1	1262914.3.peg.650.site.6
-A-	---	A	48	G	1	1262914.3.peg.650.site.7
-A-	---	A	45	G	4	1262914.3.peg.650.site.8
-A-	---	A	45	G	4	1262914.3.peg.650.site.9
-A-	---	A	45	G	4	1262914.3.peg.650.site.10
-A-	---	A	35	G	14	1262914.3.peg.650.site.11
-A-	---	A	42	G	7	1262914.3.peg.650.site.12
-A-	---	A	48	G	1	1262914.3.peg.650.site.13
-A-	---	A	45	G	4	1262914.3.peg.650.site.14
-A-	---	A	32	G	17	1262914.3.peg.650.site.15
-A-	---	A	45	G	4	1262914.3.peg.651.site.1
-A-	---	A	32	G	17	1262914.3.peg.651.site.2
-A-	---	A	49	G	0	1262914.3.peg.651.site.3
-A-	---	A	42	G	7	1262914.3.peg.651.site.4
-A-	---	A	42	G	6	1262914.3.peg.651.site.5
-A-	---	A	0	G	49	1262914.3.peg.651.site.6
-A-	---	A	42	G	6	1262914.3.peg.651.site.7
-A-	---	A	42	G	7	1262914.3.peg.651.site.8
-A-	---	A	40	G	9	1262914.3.peg.651.site.9
-A-	---	A	44	G	5	1262914.3.peg.651.site.10
-A-	---	A	41	G	8	1262914.3.peg.651.site.11
-A-	---	A	43	G	6	1262914.3.peg.651.site.12
-A-	---	A	46	G	3	1262914.3.peg.651.site.13
-A-	---	A	45	G	4	1262914.3.peg.651.site.14
-A-	---	A	48	G	1	1262914.3.peg.652.site.1
-A-	---	A	34	G	15	1262914.3.peg.652.site.2
-A-	---	A	44	G	5	1262914.3.peg.653.site.1
-A-	---	A	42	G	5	1262914.3.peg.653.site.2
-A-	---	A	42	G	4	1262914.3.peg.653.site.3
-A-	---	A	42	G	1	1262914.3.peg.653.site.4
-A-	---	A	42	G	1	1262914.3.peg.653.site.5
-A-	---	A	41	G	2	1262914.3.peg.653.site.6
-A-	---	A	42	G	7	1262914.3.peg.653.site.7
-A-	---	A	47	G	2	1262914.3.peg.653.site.8
-A-	---	A	48	G	1	1262914.3.peg.653.site.9
-A-	---	A	45	G	4	1262914.3.peg.653.site.10
-A-	---	A	13	G	36	1262914.3.peg.653.site.11
-A-	---	A	39	G	10	1262914.3.peg.653.site.12
-A-	---	A	44	G	5	1262914.3.peg.653.site.13
-A-	---	A	42	G	4	1262914.3.peg.653.site.14
-A-	---	A	42	G	3	1262914.3.peg.653.site.15
-A-	---	A	14	G	29	1262914.3.peg.653.site.16
-A-	---	A	49	G	0	1262914.3.peg.653.site.17
-A-	---	A	48	G	1	1262914.3.peg.653.site.18
-A-	---	A	42	G	7	1262914.3.peg.653.site.19
-A-	---	A	42	G	7	1262914.3.peg.653.site.20
-A-	---	A	46	G	2	1262914.3.peg.653.site.21
-A-	---	A	10	G	35	1262914.3.peg.653.site.22
-A-	---	A	40	G	5	1262914.3.peg.653.site.23
-A-	---	A	42	G	3	1262914.3.peg.653.site.24
-A-	---	A	42	G	7	1262914.3.peg.653.site.25
-A-	---	A	42	G	7	1262914.3.peg.654.site.1
-A-	---	A	42	G	7	1262914.3.peg.654.site.2
-A-	---	A	13	G	36	1262914.3.peg.654.site.3
-A-	---	A	42	G	7	1262914.3.peg.654.site.4
-A-	---	A	42	G	7	1262914.3.peg.654.site.5
-A-	---	A	49	G	0	1262914.3.peg.654.site.6
-A-	---	A	42	G	7	1262914.3.peg.654.site.7
-A-	---	A	42	G	7	1262914.3.peg.654.site.8
-A-	---	A	42	G	7	1262914.3.peg.654.site.9
-A-	---	A	48	G	1	1262914.3.peg.654.site.10
-A-	---	A	48	G	1	1262914.3.peg.654.site.11
-A-	---	A	17	G	30	1262914.3.peg.655.site.1
-A-	---	A	42	G	2	1262914.3.peg.655.site.2
-A-	---	A	42	G	2	1262914.3.peg.655.site.3
-A-	---	A	42	G	1	1262914.3.peg.655.site.4
-A-	---	A	42	G	3	1262914.3.peg.655.site.5
-A-	---	A	42	G	4	1262914.3.peg.655.site.6
-A-	---	A	44	G	5	1262914.3.peg.655.site.7
-A-	---	A	47	G	2	1262914.3.peg.655.site.8
-A-	---	A	42	G	7	1262914.3.peg.655.site.9
-A-	---	A	42	G	7	1262914.3.peg.655.site.10
-A-	---	A	30	G	19	1262914.3.peg.655.site.11
-A-	---	A	42	G	7	1262914.3.peg.655.site.12
-A-	---	A	46	G	3	1262914.3.peg.655.site.13
-A-	---	A	33	G	16	1262914.3.peg.655.site.14
-A-	---	A	42	G	7	1262914.3.peg.655.site.15
-A-	---	A	42	G	7	1262914.3.peg.655.site.16
-A-	---	A	36	G	13	1262914.3.peg.655.site.17
-A-	---	A	42	G	7	1262914.3.peg.655.site.18
-A-	---	A	42	G	7	1262914.3.peg.655.site.19
-A-	---	A	48	G	1	1262914.3.peg.655.site.20
-A-	---	A	42	G	7	1262914.3.peg.655.site.21
-A-	---	A	41	G	8	1262914.3.peg.655.site.22
-A-	---	A	41	G	8	1262914.3.peg.655.site.23
-A-	---	A	47	G	2	1262914.3.peg.655.site.24
-A-	---	A	47	G	2	1262914.3.peg.655.site.25
-A-	---	A	42	G	7	1262914.3.peg.655.site.26
-A-	---	A	42	G	7	1262914.3.peg.655.site.27
-A-	---	A	42	G	7	1262914.3.peg.655.site.28
-A-	---	A	37	G	12	1262914.3.peg.655.site.29
-A-	---	A	22	G	25	1262914.3.peg.656.site.1
-A-	---	A	15	G	33	1262914.3.peg.656.site.2
-A-	---	A	42	G	7	1262914.3.peg.656.site.3
-A-	---	A	46	G	3	1262914.3.peg.656.site.4
-A-	---	A	6	G	43	1262914.3.peg.656.site.5
-A-	---	A	42	G	7	1262914.3.peg.656.site.6
-A-	---	A	41	G	8	1262914.3.peg.656.site.7
-A-	---	A	46	G	3	1262914.3.peg.656.site.8
-A-	---	A	9	G	40	1262914.3.peg.656.site.9
-A-	---	A	36	G	13	1262914.3.peg.656.site.10
-A-	---	A	33	G	16	1262914.3.peg.656.site.11
-A-	---	A	42	G	7	1262914.3.peg.656.site.12
-A-	---	A	42	G	7	1262914.3.peg.656.site.13
-A-	---	A	42	G	7	1262914.3.peg.656.site.14
-A-	---	A	42	G	7	1262914.3.peg.656.site.15
-A-	---	A	41	G	8	1262914.3.peg.656.site.16
-A-	---	A	43	G	6	1262914.3.peg.656.site.17
-A-	---	A	42	G	7	1262914.3.peg.656.site.18
-A-	---	A	42	G	7	1262914.3.peg.656.site.19
-A-	---	A	45	G	4	1262914.3.peg.656.site.20
-A-	---	A	42	G	7	1262914.3.peg.656.site.21
-A-	---	A	33	G	16	1262914.3.peg.656.site.22
-A-	---	A	12	G	37	1262914.3.peg.656.site.23
-A-	---	A	48	G	1	1262914.3.peg.656.site.24
-A-	---	A	42	G	7	1262914.3.peg.656.site.25
-A-	---	A	49	G	0	1262914.3.peg.656.site.26
-A-	---	A	42	G	7	1262914.3.peg.656.site.27
-A-	---	A	41	G	6	1262914.3.peg.656.site.28
-A-	---	A	48	G	1	1262914.3.peg.656.site.29
-A-	---	A	41	G	5	1262914.3.peg.656.site.30
-A-	---	A	41	G	8	1262914.3.peg.656.site.31
-A-	---	A	41	G	8	1262914.3.peg.656.site.32
-A-	---	A	41	G	8	1262914.3.peg.656.site.33
-A-	---	A	47	G	1	1262914.3.peg.656.site.34
-A-	---	A	41	G	8	1262914.3.peg.656.site.35
-A-	---	A	48	G	1	1262914.3.peg.657.site.1
-A-	---	A	48	G	1	1262914.3.peg.657.site.2
-A-	---	A	46	G	3	1262914.3.peg.657.site.3
-A-	---	A	46	G	3	1262914.3.peg.657.site.4
-A-	---	A	48	G	1	1262914.3.peg.657.site.5
-A-	---	A	48	G	1	1262914.3.peg.657.site.6
-A-	---	A	48	G	1	1262914.3.peg.657.site.7
-A-	---	A	48	G	1	1262914.3.peg.657.site.8
-A-	---	A	43	G	6	1262914.3.peg.657.site.9
-A-	---	A	41	G	8	1262914.3.peg.657.site.10
-A-	---	A	48	G	1	1262914.3.peg.657.site.11
-A-	---	A	41	G	7	1262914.3.peg.657.site.12
-A-	---	A	42	G	1	1262914.3.peg.657.site.13
-A-	---	A	41	G	1	1262914.3.peg.657.site.14
-A-	---	A	41	G	1	1262914.3.peg.657.site.15
-A-	---	A	44	G	1	1262914.3.peg.657.site.16
-A-	---	A	42	G	3	1262914.3.peg.657.site.17
-A-	---	A	42	G	6	1262914.3.peg.657.site.18
-A-	---	A	36	G	12	1262914.3.peg.657.site.19
-A-	---	A	47	G	1	1262914.3.peg.657.site.20
-A-	---	A	44	G	4	1262914.3.peg.657.site.21
-A-	---	A	48	G	1	1262914.3.peg.657.site.22
-A-	---	A	43	G	6	1262914.3.peg.657.site.23
-A-	---	A	18	G	31	1262914.3.peg.254.site.1
-A-	---	A	29	G	20	1262914.3.peg.254.site.2
-A-	---	A	29	G	20	1262914.3.peg.254.site.3
-A-	---	A	46	G	3	1262914.3.peg.254.site.4
-A-	---	A	45	G	4	1262914.3.peg.254.site.5
-A-	---	A	46	G	3	1262914.3.peg.254.site.6
-A-	---	A	44	G	5	1262914.3.peg.254.site.7
-A-	---	A	29	G	20	1262914.3.peg.254.site.8
-A-	---	A	40	G	8	1262914.3.peg.254.site.9
-A-	---	A	44	G	3	1262914.3.peg.254.site.10
-A-	---	A	44	G	1	1262914.3.peg.254.site.11
-A-	---	A	41	G	4	1262914.3.peg.254.site.12
-A-	---	A	26	G	20	1262914.3.peg.254.site.13
-A-	---	A	28	G	20	1262914.3.peg.254.site.14
-A-	---	A	44	G	4	1262914.3.peg.254.site.15
-A-	---	A	47	G	2	1262914.3.peg.254.site.16
-A-	---	A	44	G	5	1262914.3.peg.254.site.17
-A-	---	A	29	G	20	1262914.3.peg.254.site.18
-A-	---	A	45	G	4	1262914.3.peg.254.site.19
-A-	---	A	43	G	6	1262914.3.peg.254.site.20
-A-	---	A	47	G	2	1262914.3.peg.254.site.21
-A-	---	A	29	G	20	1262914.3.peg.254.site.22
-A-	---	A	26	G	23	1262914.3.peg.254.site.23
-A-	---	A	44	G	5	1262914.3.peg.254.site.24
-A-	---	A	43	G	6	1262914.3.peg.254.site.25
-A-	---	A	48	G	1	1262914.3.peg.254.site.26
-A-	---	A	44	G	5	1262914.3.peg.254.site.27
-A-	---	A	46	G	3	1262914.3.peg.254.site.28
-A-	---	A	23	G	26	1262914.3.peg.254.site.29
-A-	---	A	44	G	5	1262914.3.peg.254.site.30
-A-	---	A	45	G	4	1262914.3.peg.254.site.31
-A-	---	A	44	G	5	1262914.3.peg.254.site.32
-A-	---	A	44	G	5	1262914.3.peg.254.site.33
-A-	---	A	45	G	4	1262914.3.peg.254.site.34
-A-	---	A	44	G	5	1262914.3.peg.254.site.35
-A-	---	A	44	G	5	1262914.3.peg.254.site.36
