Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
210007.7,Streptococcus mutans UA159,,210007,131567;2;1783272;1239;91061;186826;1300;1301;1309;210007,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans UA159,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,Complete,UA159,serovar c,,,,,,,,,,,,,,,,,,,Good,2002-10-25T00:00:00Z,12397186,,PRJNA333,SAMN02604090,GCA_000007465.2,,AE014133,,complete,,,,,,1,2030921,36.8,1,2030921,65,10,,1926,100,99.9,,100,,child with active dental caries,isolated from a child with active dental caries in 1982,1982,1982,,,,,,"Human, Homo sapiens",Human,,,,Human,,,,,Streptococcus mutans strain UA159. This strain is a serotype c strain isolated from a child with active dental caries in 1982.,2014-12-08T22:13:32.351Z,2015-03-16T03:17:09.594Z
1309.12,Streptococcus mutans strain LM7,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,Plasmid,LM7,,,,,,,,,,,,,,,,,,,,,2016-07-23T00:00:00Z,,,,,,,AF050494,,,,,,,1,1,5658,32.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-29T16:42:40.620Z,2017-12-29T16:42:40.620Z
1309.121,Streptococcus mutans strain UA140,,1309,131567;2;1783272;1239;91061;186826;1300;1301;1309,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,Plasmid,UA140,,,,,,,,,,,,,,,,,,,,,2016-07-20T00:00:00Z,11591133,,,,,,AF068250,,,,,,,1,1,5640,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-29T16:43:41.488Z,2017-12-29T16:43:41.488Z
1074124.3,Streptococcus mutans TCI-146,,1074124,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074124,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-146,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-146,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71999,SAMN02436345,GCA_000228965.2,,AGKE00000000,,WGS,,,,,,143,1785489,37,18,30114,36,,,1709,99.4,98.9,0.7,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.744Z,2015-03-16T03:17:09.594Z
1074113.3,Streptococcus mutans TCI-101,,1074113,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074113,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-101,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-101,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71977,SAMN02436614,GCA_000228745.2,,AGKF00000000,,WGS,,,,,,141,1816188,36.9,19,30986,35,,,1759,99.5,99,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.640Z,2015-03-16T03:17:09.594Z
1074114.3,Streptococcus mutans TCI-109,,1074114,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074114,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-109,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-109,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71979,SAMN02436443,GCA_000228765.2,,AGKG00000000,,WGS,,,,,,146,1801671,37,17,31050,38,,,1717,99.3,98.8,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.648Z,2015-03-16T03:17:09.594Z
1074095.3,Streptococcus mutans TCI-11,,1074095,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074095,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-11,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-11,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71953,SAMN02436346,GCA_000228785.2,,AGKH00000000,,WGS,,,,,,141,1799918,37,20,31032,36,,,1721,98.9,98.4,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.657Z,2015-03-16T03:17:09.594Z
1074115.3,Streptococcus mutans TCI-110,,1074115,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074115,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-110,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-110,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71981,SAMN02436598,GCA_000228805.2,,AGKI00000000,,WGS,,,,,,135,1809107,36.9,19,36980,37,,,1740,99.1,98.7,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.666Z,2015-03-16T03:17:09.594Z
1074116.3,Streptococcus mutans TCI-116,,1074116,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074116,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-116,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-116,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71983,SAMN02436347,GCA_000228825.2,,AGKJ00000000,,WGS,,,,,,60,1929685,36.7,9,86930,37,,,1855,99.5,99.3,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.674Z,2015-03-16T03:17:09.594Z
1074118.3,Streptococcus mutans TCI-120,,1074118,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074118,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-120,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-120,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71987,SAMN02436599,GCA_000228845.2,,AGKK00000000,,WGS,,,,,,159,1776899,37,21,25390,35,,,1703,99.4,99.1,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.684Z,2015-03-16T03:17:09.594Z
1074119.3,Streptococcus mutans TCI-123,,1074119,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074119,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-123,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-123,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71989,SAMN02436600,GCA_000228865.2,,AGKL00000000,,WGS,,,,,,109,1890503,36.8,14,42228,38,,,1823,99.2,99,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.695Z,2015-03-16T03:17:09.594Z
1074120.3,Streptococcus mutans TCI-125,,1074120,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074120,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-125,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-125,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71991,SAMN02436444,GCA_000228885.2,,AGKM00000000,,WGS,,,,,,96,1861689,36.8,13,48606,38,,,1794,99.7,99.5,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.706Z,2015-03-16T03:17:09.594Z
1074121.3,Streptococcus mutans TCI-138,,1074121,131567;2;1783272;1239;91061;186826;1300;1301;1309;1074121,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans;Streptococcus mutans TCI-138,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,WGS,TCI-138,,,,,,,,,,,,,,,,, ,,,Good,2011-10-06T00:00:00Z,,,PRJNA71993,SAMN02436445,GCA_000228905.2,,AGKN00000000,,WGS,,,,,,131,1805076,37,19,30160,36,,,1742,99.3,99,,100,,,isolated by plating plaque scrapings on selective media,,,,,,,,,,,,,,,,,,"Plaque samples were collected from twin children with and without dental caries. S. mutans and S. sobrinus were isolated by plating plaque scrapings on selective media. Unique isolates were chosen for genome sequencing by restriction digest genotyping; libraries were constructed using the EpiBio Nextera DNA sample prep kit, and sequencing was performed using an Illumina Genome Analyzer IIx.",2014-12-08T22:13:31.716Z,2015-03-16T03:17:09.594Z
