Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	46	G	0	556258.5.peg.2932.site.1
-A-	---	A	48	G	0	556258.5.peg.2932.site.2
-A-	---	A	39	G	2	556258.5.peg.2932.site.3
-A-	---	A	36	G	0	556258.5.peg.2932.site.4
-A-	---	A	35	G	1	556258.5.peg.2932.site.5
-A-	---	A	38	G	0	556258.5.peg.2932.site.6
-A-	---	A	47	G	0	556258.5.peg.2932.site.7
-A-	---	A	47	G	0	556258.5.peg.2932.site.8
-A-	---	A	46	G	1	556258.5.peg.2932.site.9
-A-	---	A	7	G	0	556258.5.peg.3783.site.1
-A-	---	A	28	G	0	556258.5.peg.3783.site.2
-A-	---	A	30	G	3	556258.5.peg.4073.site.1
-A-	---	A	48	G	1	556258.5.peg.4073.site.2
-A-	---	A	46	G	3	556258.5.peg.4073.site.3
-A-	---	A	49	G	0	556258.5.peg.4073.site.4
-A-	---	A	49	G	0	556258.5.peg.4073.site.5
-A-	---	A	46	G	2	556258.5.peg.4073.site.6
-A-	---	A	10	G	38	556258.5.peg.4073.site.7
-A-	---	A	47	G	2	556258.5.peg.4073.site.8
-A-	---	A	1	G	38	556258.5.peg.4073.site.9
-A-	---	A	44	G	0	556258.5.peg.4073.site.10
-A-	---	A	48	G	0	556258.5.peg.4073.site.11
-A-	---	A	45	G	0	556258.5.peg.4073.site.12
-A-	---	A	29	G	15	556258.5.peg.4073.site.13
-A-	---	A	38	G	0	556258.5.peg.4073.site.14
-A-	---	A	28	G	8	556258.5.peg.4073.site.15
-A-	---	A	41	G	0	556258.5.peg.4073.site.16
-A-	---	A	48	G	1	556258.5.peg.3419.site.1
-A-	---	A	48	G	1	556258.5.peg.3419.site.2
-A-	---	A	49	G	0	556258.5.peg.3419.site.3
-A-	---	A	5	G	44	556258.5.peg.3419.site.4
-A-	---	A	3	G	46	556258.5.peg.3419.site.5
-A-	---	A	42	G	7	556258.5.peg.3419.site.6
-A-	---	A	42	G	7	556258.5.peg.3419.site.7
-A-	---	A	46	G	2	556258.5.peg.3419.site.8
-A-	---	A	49	G	0	556258.5.peg.3419.site.9
-A-	---	A	49	G	0	556258.5.peg.3419.site.10
-A-	---	A	48	G	1	556258.5.peg.3419.site.11
-A-	---	A	48	G	1	556258.5.peg.3419.site.12
-A-	---	A	39	G	10	556258.5.peg.3419.site.13
-A-	---	A	41	G	8	556258.5.peg.3419.site.14
-A-	---	A	33	G	1	556258.5.peg.3419.site.15
-A-	---	A	38	G	0	556258.5.peg.3419.site.16
-A-	---	A	30	G	0	556258.5.peg.1341.site.1
-A-	---	A	45	G	0	556258.5.peg.1341.site.2
-A-	---	A	45	G	1	556258.5.peg.1341.site.3
-A-	---	A	39	G	6	556258.5.peg.1341.site.4
-A-	---	A	34	G	10	556258.5.peg.1341.site.5
-A-	---	A	35	G	9	556258.5.peg.1341.site.6
-A-	---	A	43	G	1	556258.5.peg.1341.site.7
-A-	---	A	35	G	8	556258.5.peg.1341.site.8
-A-	---	A	35	G	2	556258.5.peg.1341.site.9
-A-	---	A	34	G	1	556258.5.peg.1341.site.10
-A-	---	A	42	G	1	556258.5.peg.1341.site.11
-A-	---	A	43	G	1	556258.5.peg.1341.site.12
-A-	---	A	43	G	1	556258.5.peg.1341.site.13
-A-	---	A	43	G	1	556258.5.peg.1341.site.14
-A-	---	A	43	G	1	556258.5.peg.1341.site.15
-A-	---	A	43	G	1	556258.5.peg.1341.site.16
-A-	---	A	34	G	10	556258.5.peg.1341.site.17
-A-	---	A	34	G	9	556258.5.peg.1341.site.18
-A-	---	A	35	G	8	556258.5.peg.1341.site.19
-A-	---	A	35	G	9	556258.5.peg.1341.site.20
-A-	---	A	42	G	0	556258.5.peg.1341.site.21
-A-	---	A	42	G	1	556258.5.peg.1341.site.22
-A-	---	A	29	G	14	556258.5.peg.1341.site.23
-A-	---	A	35	G	9	556258.5.peg.1341.site.24
-A-	---	A	43	G	1	556258.5.peg.1341.site.25
-A-	---	A	43	G	1	556258.5.peg.1341.site.26
