Contig,Gene,site_pos,Species,Peak number,SNV position (genome),Gene product,GO annotation,Pathway,iLDS,Data type
NC_010655,349741.6.peg.624,653685,Akkermansia_muciniphila_55290,1,653685,UPF0102 protein YraN,,,0.059181955,QP metagenomes
NC_010655,349741.6.peg.608,636984,Akkermansia_muciniphila_55290,1,636984,beta-galactosidase (EC 3.2.1.23),GO:0004565|beta-galactosidase activity,00052|Galactose metabolism;00531|Glycosaminoglycan degradation;00600|Sphingolipid metabolism;00604|Glycosphingolipid biosynthesis - ganglio series,0.044808464,QP metagenomes
NC_010655,349741.6.peg.626,655388,Akkermansia_muciniphila_55290,1,655388,Hemolysins and related proteins containing CBS domains,,,0.076860479,QP metagenomes
NC_010655,349741.6.peg.626,655513,Akkermansia_muciniphila_55290,1,655513,Hemolysins and related proteins containing CBS domains,,,0.063082649,QP metagenomes
NC_010655,349741.6.peg.623,652688,Akkermansia_muciniphila_55290,1,652688,Indole-3-glycerol phosphate synthase (EC 4.1.1.48),GO:0004425|indole-3-glycerol-phosphate synthase activity,"00400|Phenylalanine, tyrosine and tryptophan biosynthesis",0.049294041,QP metagenomes
NC_010655,349741.6.peg.623,652682,Akkermansia_muciniphila_55290,1,652682,Indole-3-glycerol phosphate synthase (EC 4.1.1.48),GO:0004425|indole-3-glycerol-phosphate synthase activity,"00400|Phenylalanine, tyrosine and tryptophan biosynthesis",0.049362005,QP metagenomes
NC_010655,349741.6.peg.626,655453,Akkermansia_muciniphila_55290,1,655453,Hemolysins and related proteins containing CBS domains,,,0.068250028,QP metagenomes
NC_010655,349741.6.peg.608,636841,Akkermansia_muciniphila_55290,1,636841,beta-galactosidase (EC 3.2.1.23),GO:0004565|beta-galactosidase activity,00052|Galactose metabolism;00531|Glycosaminoglycan degradation;00600|Sphingolipid metabolism;00604|Glycosphingolipid biosynthesis - ganglio series,0.038045853,QP metagenomes
NC_010655,349741.6.peg.625,653969,Akkermansia_muciniphila_55290,1,653969,Ribonuclease HII (EC 3.1.26.4),GO:0004523|RNA-DNA hybrid ribonuclease activity,,0.05394565,QP metagenomes
NC_010655,349741.6.peg.623,652514,Akkermansia_muciniphila_55290,1,652514,Indole-3-glycerol phosphate synthase (EC 4.1.1.48),GO:0004425|indole-3-glycerol-phosphate synthase activity,"00400|Phenylalanine, tyrosine and tryptophan biosynthesis",0.048000391,QP metagenomes
NC_010655,349741.6.peg.623,652642,Akkermansia_muciniphila_55290,1,652642,Indole-3-glycerol phosphate synthase (EC 4.1.1.48),GO:0004425|indole-3-glycerol-phosphate synthase activity,"00400|Phenylalanine, tyrosine and tryptophan biosynthesis",0.061869792,QP metagenomes
NC_010655,349741.6.peg.624,653527,Akkermansia_muciniphila_55290,1,653527,UPF0102 protein YraN,,,0.050778386,QP metagenomes
NC_010655,349741.6.peg.1384,1467540,Akkermansia_muciniphila_55290,2,1467540,Alpha-N-acetylglucosaminidase (EC 3.2.1.50),GO:0004561|alpha-N-acetylglucosaminidase activity,00531|Glycosaminoglycan degradation,0.036202981,QP metagenomes
NC_010655,349741.6.peg.1385,1468952,Akkermansia_muciniphila_55290,2,1468952,"Oligopeptide transporter, OPT family",,,0.039340713,QP metagenomes
NC_010655,349741.6.peg.1390,1475494,Akkermansia_muciniphila_55290,2,1475494,Nucleoid-associated protein YaaK,,,0.040832549,QP metagenomes
NC_010655,349741.6.peg.1391,1476088,Akkermansia_muciniphila_55290,2,1476088,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),GO:0003887|DNA-directed DNA polymerase activity,00230|Purine metabolism;00240|Pyrimidine metabolism,0.043988477,QP metagenomes
NC_010655,349741.6.peg.1391,1476098,Akkermansia_muciniphila_55290,2,1476098,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),GO:0003887|DNA-directed DNA polymerase activity,00230|Purine metabolism;00240|Pyrimidine metabolism,0.040112237,QP metagenomes
