Recombination percentile,Remaining sites
0.0,2283430
0.01,2283430
0.02,2283430
0.03,2283430
0.04,2283430
0.05,2283430
0.06,2283430
0.07,2283430
0.08,2283430
0.09,2283430
0.1,2283430
0.11,2283430
0.12,2283430
0.13,2283430
0.14,2283430
0.15,2283430
0.16,2283430
0.17,2283430
0.18,2283430
0.19,2283430
0.2,2283430
0.21,2283430
0.22,2283430
0.23,2283430
0.24,2283430
0.25,1698183
0.26,1698183
0.27,1698183
0.28,1698183
0.29,1698183
0.3,1698183
0.31,1698183
0.32,1698183
0.33,1698183
0.34,1698183
0.35000000000000003,1698183
0.36,1698183
0.37,1698183
0.38,1698183
0.39,1698183
0.4,1698183
0.41000000000000003,1698183
0.42,1698183
0.43,1698183
0.44,1211169
0.45,1211169
0.46,1211169
0.47000000000000003,1211169
0.48,1211169
0.49,1211169
0.5,1211169
0.51,1211169
0.52,1211169
0.53,1211169
0.54,1211169
0.55,1211169
0.56,1211169
0.5700000000000001,1211169
0.58,1211169
0.59,1211169
0.6,1211169
0.61,827174
0.62,1211169
0.63,1211169
0.64,827174
0.65,827174
0.66,827174
0.67,827174
0.68,1211169
0.6900000000000001,827174
0.7000000000000001,827174
0.71,827174
0.72,827174
0.73,827174
0.74,827174
0.75,501501
0.76,501501
0.77,501501
0.78,501501
0.79,501501
0.8,501501
0.81,501501
0.8200000000000001,501501
0.8300000000000001,501501
0.84,501501
0.85,385416
0.86,385416
0.87,385416
0.88,385416
0.89,385416
0.9,273519
0.91,273519
0.92,273519
0.93,201027
0.9400000000000001,201027
0.9500000000000001,131659
0.96,131659
0.97,83444
0.98,55931
0.99,28977
1.0,0
