Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	18	G	7	515620.4.peg.2198.site.1
-A-	---	A	10	G	15	515620.4.peg.2198.site.2
-A-	---	A	25	G	0	515620.4.peg.2198.site.3
-A-	---	A	22	G	3	515620.4.peg.2198.site.4
-A-	---	A	22	G	3	515620.4.peg.2198.site.5
-A-	---	A	0	G	25	515620.4.peg.2199.site.1
-A-	---	A	1	G	24	515620.4.peg.2199.site.2
-A-	---	A	2	G	23	515620.4.peg.1522.site.1
-A-	---	A	23	G	2	515620.4.peg.1522.site.2
-A-	---	A	24	G	1	515620.4.peg.1522.site.3
-A-	---	A	24	G	1	515620.4.peg.1522.site.4
-A-	---	A	1	G	24	515620.4.peg.1522.site.5
-A-	---	A	1	G	24	515620.4.peg.1522.site.6
-A-	---	A	2	G	23	515620.4.peg.1522.site.7
-A-	---	A	2	G	23	515620.4.peg.1522.site.8
-A-	---	A	24	G	1	515620.4.peg.1522.site.9
-A-	---	A	24	G	1	515620.4.peg.1522.site.10
-A-	---	A	0	G	25	515620.4.peg.1522.site.11
-A-	---	A	24	G	1	515620.4.peg.1522.site.12
-A-	---	A	24	G	1	515620.4.peg.1522.site.13
-A-	---	A	1	G	24	515620.4.peg.1522.site.14
-A-	---	A	24	G	1	515620.4.peg.1522.site.15
-A-	---	A	24	G	1	515620.4.peg.1522.site.16
-A-	---	A	3	G	22	515620.4.peg.1522.site.17
-A-	---	A	24	G	1	515620.4.peg.1522.site.18
-A-	---	A	23	G	2	515620.4.peg.1522.site.19
-A-	---	A	24	G	1	515620.4.peg.1522.site.20
-A-	---	A	3	G	22	515620.4.peg.1522.site.21
-A-	---	A	24	G	1	515620.4.peg.1522.site.22
-A-	---	A	2	G	23	515620.4.peg.1522.site.23
-A-	---	A	2	G	23	515620.4.peg.1522.site.24
-A-	---	A	0	G	24	515620.4.peg.1522.site.25
-A-	---	A	0	G	24	515620.4.peg.1522.site.26
-A-	---	A	23	G	1	515620.4.peg.1522.site.27
-A-	---	A	0	G	24	515620.4.peg.1522.site.28
-A-	---	A	1	G	23	515620.4.peg.1522.site.29
-A-	---	A	0	G	8	515620.4.peg.1782.site.1
-A-	---	A	2	G	7	515620.4.peg.1782.site.2
-A-	---	A	0	G	15	515620.4.peg.1782.site.3
-A-	---	A	0	G	16	515620.4.peg.1782.site.4
-A-	---	A	0	G	23	515620.4.peg.1782.site.5
-A-	---	A	18	G	7	515620.4.peg.1782.site.6
-A-	---	A	19	G	2	515620.4.peg.1782.site.7
-A-	---	A	7	G	13	515620.4.peg.1782.site.8
-A-	---	A	20	G	1	515620.4.peg.1782.site.9
-A-	---	A	15	G	3	515620.4.peg.1782.site.10
-A-	---	A	15	G	2	515620.4.peg.1782.site.11
-A-	---	A	0	G	11	515620.4.peg.1782.site.12
-A-	---	A	7	G	4	515620.4.peg.1782.site.13
-A-	---	A	2	G	9	515620.4.peg.1782.site.14
-A-	---	A	0	G	2	515620.4.peg.1782.site.15
-A-	---	A	0	G	2	515620.4.peg.1782.site.16
-A-	---	A	11	G	8	515620.4.peg.1782.site.17
-A-	---	A	0	G	6	515620.4.peg.1782.site.18
-A-	---	A	0	G	12	515620.4.peg.1783.site.1
-A-	---	A	0	G	9	515620.4.peg.1783.site.2
-A-	---	A	0	G	4	515620.4.peg.1783.site.3
-A-	---	A	8	G	13	515620.4.peg.1783.site.4
-A-	---	A	0	G	23	515620.4.peg.1783.site.5
-A-	---	A	14	G	11	515620.4.peg.2190.site.1
-A-	---	A	18	G	7	515620.4.peg.2190.site.2
-A-	---	A	6	G	19	515620.4.peg.2190.site.3
-A-	---	A	6	G	19	515620.4.peg.2190.site.4
-A-	---	A	24	G	1	515620.4.peg.2190.site.5
-A-	---	A	22	G	3	515620.4.peg.2190.site.6
-A-	---	A	13	G	12	515620.4.peg.2190.site.7
-A-	---	A	20	G	5	515620.4.peg.2190.site.8
-A-	---	A	23	G	2	515620.4.peg.2190.site.9
-A-	---	A	23	G	2	515620.4.peg.2190.site.10
-A-	---	A	23	G	2	515620.4.peg.2190.site.11
-A-	---	A	22	G	3	515620.4.peg.2190.site.12
-A-	---	A	24	G	1	515620.4.peg.2191.site.1
-A-	---	A	23	G	2	515620.4.peg.2191.site.2
-A-	---	A	24	G	1	515620.4.peg.2191.site.3
-A-	---	A	23	G	2	515620.4.peg.2191.site.4
-A-	---	A	20	G	5	515620.4.peg.2191.site.5
-A-	---	A	21	G	4	515620.4.peg.2191.site.6
-A-	---	A	19	G	6	515620.4.peg.2191.site.7
-A-	---	A	21	G	4	515620.4.peg.2191.site.8
-A-	---	A	21	G	4	515620.4.peg.2191.site.9
-A-	---	A	24	G	1	515620.4.peg.2191.site.10
-A-	---	A	24	G	1	515620.4.peg.2191.site.11
-A-	---	A	24	G	1	515620.4.peg.2191.site.12
-A-	---	A	24	G	1	515620.4.peg.2192.site.1
-A-	---	A	18	G	7	515620.4.peg.2192.site.2
-A-	---	A	23	G	2	515620.4.peg.2192.site.3
-A-	---	A	9	G	16	515620.4.peg.2192.site.4
-A-	---	A	22	G	2	515620.4.peg.2192.site.5
-A-	---	A	21	G	3	515620.4.peg.2192.site.6
-A-	---	A	21	G	3	515620.4.peg.2192.site.7
-A-	---	A	22	G	3	515620.4.peg.2192.site.8
-A-	---	A	9	G	16	515620.4.peg.2192.site.9
-A-	---	A	19	G	6	515620.4.peg.2192.site.10
-A-	---	A	20	G	5	515620.4.peg.2192.site.11
-A-	---	A	24	G	1	515620.4.peg.2192.site.12
-A-	---	A	22	G	3	515620.4.peg.2192.site.13
-A-	---	A	6	G	19	515620.4.peg.2192.site.14
-A-	---	A	9	G	16	515620.4.peg.2192.site.15
-A-	---	A	8	G	17	515620.4.peg.2192.site.16
-A-	---	A	25	G	0	515620.4.peg.2192.site.17
-A-	---	A	24	G	1	515620.4.peg.2192.site.18
-A-	---	A	24	G	1	515620.4.peg.2192.site.19
-A-	---	A	25	G	0	515620.4.peg.2192.site.20
-A-	---	A	24	G	1	515620.4.peg.2192.site.21
-A-	---	A	25	G	0	515620.4.peg.2192.site.22
-A-	---	A	17	G	8	515620.4.peg.1488.site.1
-A-	---	A	17	G	8	515620.4.peg.1488.site.2
-A-	---	A	16	G	9	515620.4.peg.1488.site.3
-A-	---	A	24	G	1	515620.4.peg.1488.site.4
-A-	---	A	24	G	1	515620.4.peg.1488.site.5
-A-	---	A	24	G	1	515620.4.peg.1488.site.6
-A-	---	A	24	G	1	515620.4.peg.1488.site.7
-A-	---	A	24	G	1	515620.4.peg.1488.site.8
-A-	---	A	24	G	1	515620.4.peg.1488.site.9
-A-	---	A	17	G	8	515620.4.peg.1488.site.10
-A-	---	A	24	G	1	515620.4.peg.1488.site.11
-A-	---	A	17	G	8	515620.4.peg.1488.site.12
-A-	---	A	0	G	25	515620.4.peg.1488.site.13
-A-	---	A	17	G	8	515620.4.peg.1098.site.1
-A-	---	A	15	G	7	515620.4.peg.1098.site.2
-A-	---	A	0	G	24	515620.4.peg.1098.site.3
-A-	---	A	22	G	3	515620.4.peg.1098.site.4
-A-	---	A	22	G	3	515620.4.peg.1098.site.5
-A-	---	A	1	G	24	515620.4.peg.1098.site.6
-A-	---	A	22	G	3	515620.4.peg.1098.site.7
-A-	---	A	1	G	24	515620.4.peg.1098.site.8
-A-	---	A	22	G	3	515620.4.peg.1098.site.9
-A-	---	A	0	G	25	515620.4.peg.1098.site.10
-A-	---	A	22	G	3	515620.4.peg.1098.site.11
-A-	---	A	21	G	4	515620.4.peg.1098.site.12
-A-	---	A	1	G	24	515620.4.peg.1098.site.13
-A-	---	A	21	G	4	515620.4.peg.1098.site.14
-A-	---	A	21	G	4	515620.4.peg.1098.site.15
-A-	---	A	14	G	11	515620.4.peg.1098.site.16
-A-	---	A	24	G	1	515620.4.peg.1098.site.17
-A-	---	A	15	G	10	515620.4.peg.1098.site.18
-A-	---	A	8	G	17	515620.4.peg.1098.site.19
-A-	---	A	22	G	3	515620.4.peg.1098.site.20
-A-	---	A	4	G	21	515620.4.peg.1098.site.21
-A-	---	A	24	G	1	515620.4.peg.1098.site.22
-A-	---	A	22	G	3	515620.4.peg.1098.site.23
-A-	---	A	22	G	3	515620.4.peg.1098.site.24
-A-	---	A	19	G	6	515620.4.peg.1098.site.25
-A-	---	A	23	G	2	515620.4.peg.1098.site.26
-A-	---	A	9	G	16	515620.4.peg.1098.site.27
-A-	---	A	22	G	3	515620.4.peg.1098.site.28
-A-	---	A	24	G	1	515620.4.peg.1098.site.29
-A-	---	A	15	G	10	515620.4.peg.1098.site.30
-A-	---	A	24	G	1	515620.4.peg.1098.site.31
-A-	---	A	4	G	21	515620.4.peg.1098.site.32
-A-	---	A	1	G	24	515620.4.peg.1098.site.33
-A-	---	A	22	G	3	515620.4.peg.1098.site.34
-A-	---	A	23	G	2	515620.4.peg.1098.site.35
-A-	---	A	2	G	23	515620.4.peg.1098.site.36
-A-	---	A	1	G	15	515620.4.peg.1789.site.1
-A-	---	A	3	G	16	515620.4.peg.1789.site.2
-A-	---	A	21	G	1	515620.4.peg.1789.site.3
-A-	---	A	5	G	20	515620.4.peg.1789.site.4
-A-	---	A	3	G	22	515620.4.peg.1789.site.5
-A-	---	A	1	G	24	515620.4.peg.1789.site.6
-A-	---	A	23	G	2	515620.4.peg.1789.site.7
-A-	---	A	1	G	1	515620.4.peg.1789.site.8
-A-	---	A	0	G	25	515620.4.peg.2196.site.1
-A-	---	A	23	G	2	515620.4.peg.2196.site.2
-A-	---	A	24	G	1	515620.4.peg.1146.site.1
-A-	---	A	23	G	2	515620.4.peg.1146.site.2
-A-	---	A	25	G	0	515620.4.peg.1146.site.3
-A-	---	A	24	G	1	515620.4.peg.1146.site.4
-A-	---	A	25	G	0	515620.4.peg.1146.site.5
-A-	---	A	24	G	1	515620.4.peg.1146.site.6
-A-	---	A	23	G	0	515620.4.peg.1146.site.7
-A-	---	A	24	G	0	515620.4.peg.1146.site.8
-A-	---	A	24	G	1	515620.4.peg.1146.site.9
-A-	---	A	23	G	2	515620.4.peg.1146.site.10
-A-	---	A	24	G	1	515620.4.peg.1146.site.11
-A-	---	A	24	G	1	515620.4.peg.1146.site.12
-A-	---	A	24	G	1	515620.4.peg.1146.site.13
-A-	---	A	1	G	24	515620.4.peg.1146.site.14
-A-	---	A	23	G	2	515620.4.peg.1146.site.15
-A-	---	A	1	G	24	515620.4.peg.1146.site.16
-A-	---	A	0	G	25	515620.4.peg.1146.site.17
-A-	---	A	0	G	25	515620.4.peg.1146.site.18
-A-	---	A	0	G	25	515620.4.peg.1146.site.19
-A-	---	A	24	G	1	515620.4.peg.1146.site.20
-A-	---	A	24	G	1	515620.4.peg.1146.site.21
-A-	---	A	3	G	22	515620.4.peg.1146.site.22
-A-	---	A	24	G	1	515620.4.peg.1146.site.23
-A-	---	A	1	G	24	515620.4.peg.1146.site.24
-A-	---	A	24	G	1	515620.4.peg.1146.site.25
-A-	---	A	24	G	1	515620.4.peg.1146.site.26
-A-	---	A	24	G	1	515620.4.peg.1146.site.27
-A-	---	A	23	G	2	515620.4.peg.1146.site.28
-A-	---	A	24	G	1	515620.4.peg.1146.site.29
-A-	---	A	22	G	3	515620.4.peg.1146.site.30
-A-	---	A	24	G	1	515620.4.peg.1146.site.31
-A-	---	A	24	G	1	515620.4.peg.1146.site.32
-A-	---	A	9	G	16	515620.4.peg.1146.site.33
-A-	---	A	0	G	25	515620.4.peg.1146.site.34
-A-	---	A	23	G	2	515620.4.peg.1146.site.35
-A-	---	A	0	G	24	515620.4.peg.1146.site.36
-A-	---	A	0	G	24	515620.4.peg.1146.site.37
-A-	---	A	0	G	23	515620.4.peg.1146.site.38
-A-	---	A	22	G	1	515620.4.peg.1146.site.39
-A-	---	A	0	G	25	515620.4.peg.1146.site.40
-A-	---	A	24	G	1	515620.4.peg.1146.site.41
-A-	---	A	24	G	1	515620.4.peg.1146.site.42
-A-	---	A	23	G	2	515620.4.peg.1146.site.43
-A-	---	A	0	G	25	515620.4.peg.1146.site.44
-A-	---	A	1	G	22	515620.4.peg.1146.site.45
-A-	---	A	0	G	23	515620.4.peg.1146.site.46
-A-	---	A	21	G	1	515620.4.peg.1146.site.47
-A-	---	A	0	G	1	515620.4.peg.1146.site.48
-A-	---	A	0	G	4	515620.4.peg.1146.site.49
-A-	---	A	4	G	1	515620.4.peg.1146.site.50
-A-	---	A	3	G	1	515620.4.peg.1146.site.51
-A-	---	A	3	G	2	515620.4.peg.1146.site.52
-A-	---	A	4	G	1	515620.4.peg.1146.site.53
-A-	---	A	3	G	19	515620.4.peg.798.site.1
-A-	---	A	2	G	22	515620.4.peg.798.site.2
-A-	---	A	23	G	1	515620.4.peg.798.site.3
-A-	---	A	11	G	13	515620.4.peg.798.site.4
-A-	---	A	11	G	13	515620.4.peg.798.site.5
-A-	---	A	24	G	1	515620.4.peg.798.site.6
-A-	---	A	13	G	12	515620.4.peg.798.site.7
-A-	---	A	8	G	17	515620.4.peg.798.site.8
-A-	---	A	24	G	1	515620.4.peg.798.site.9
-A-	---	A	8	G	17	515620.4.peg.798.site.10
