Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	34	G	2	657321.5.peg.1212.site.1
-A-	---	A	35	G	1	657321.5.peg.1212.site.2
-A-	---	A	30	G	6	657321.5.peg.1212.site.3
-A-	---	A	35	G	1	657321.5.peg.1212.site.4
-A-	---	A	34	G	2	657321.5.peg.1212.site.5
-A-	---	A	35	G	1	657321.5.peg.1212.site.6
-A-	---	A	35	G	1	657321.5.peg.1212.site.7
-A-	---	A	33	G	3	657321.5.peg.1212.site.8
-A-	---	A	26	G	10	657321.5.peg.1212.site.9
-A-	---	A	30	G	6	657321.5.peg.1212.site.10
-A-	---	A	32	G	4	657321.5.peg.1212.site.11
-A-	---	A	35	G	1	657321.5.peg.1212.site.12
-A-	---	A	32	G	4	657321.5.peg.1212.site.13
-A-	---	A	35	G	1	657321.5.peg.1212.site.14
-A-	---	A	35	G	1	657321.5.peg.1212.site.15
-A-	---	A	33	G	3	657321.5.peg.1212.site.16
-A-	---	A	21	G	15	657321.5.peg.1212.site.17
-A-	---	A	30	G	6	657321.5.peg.1212.site.18
-A-	---	A	24	G	12	657321.5.peg.1212.site.19
-A-	---	A	35	G	1	657321.5.peg.1213.site.1
-A-	---	A	35	G	1	657321.5.peg.1213.site.2
-A-	---	A	24	G	12	657321.5.peg.1213.site.3
-A-	---	A	35	G	1	657321.5.peg.1213.site.4
-A-	---	A	32	G	4	657321.5.peg.1213.site.5
-A-	---	A	29	G	7	657321.5.peg.1213.site.6
-A-	---	A	34	G	2	657321.5.peg.931.site.1
-A-	---	A	33	G	3	657321.5.peg.931.site.2
-A-	---	A	34	G	2	657321.5.peg.931.site.3
-A-	---	A	32	G	4	657321.5.peg.931.site.4
-A-	---	A	21	G	15	657321.5.peg.931.site.5
-A-	---	A	30	G	6	657321.5.peg.931.site.6
-A-	---	A	32	G	4	657321.5.peg.931.site.7
-A-	---	A	29	G	3	657321.5.peg.930.site.1
-A-	---	A	29	G	4	657321.5.peg.930.site.2
-A-	---	A	16	G	18	657321.5.peg.930.site.3
-A-	---	A	35	G	1	657321.5.peg.930.site.4
-A-	---	A	35	G	1	657321.5.peg.930.site.5
-A-	---	A	35	G	1	657321.5.peg.930.site.6
-A-	---	A	32	G	4	657321.5.peg.930.site.7
-A-	---	A	35	G	1	657321.5.peg.930.site.8
-A-	---	A	32	G	4	657321.5.peg.930.site.9
-A-	---	A	35	G	1	657321.5.peg.930.site.10
-A-	---	A	35	G	1	657321.5.peg.930.site.11
-A-	---	A	35	G	1	657321.5.peg.933.site.1
-A-	---	A	35	G	1	657321.5.peg.933.site.2
-A-	---	A	35	G	1	657321.5.peg.933.site.3
-A-	---	A	35	G	1	657321.5.peg.933.site.4
-A-	---	A	33	G	2	657321.5.peg.933.site.5
-A-	---	A	1	G	35	657321.5.peg.933.site.6
-A-	---	A	31	G	5	657321.5.peg.933.site.7
-A-	---	A	33	G	3	657321.5.peg.933.site.8
-A-	---	A	32	G	4	657321.5.peg.933.site.9
-A-	---	A	35	G	1	657321.5.peg.933.site.10
-A-	---	A	32	G	4	657321.5.peg.933.site.11
-A-	---	A	3	G	33	657321.5.peg.933.site.12
-A-	---	A	35	G	1	657321.5.peg.933.site.13
-A-	---	A	14	G	22	657321.5.peg.933.site.14
-A-	---	A	33	G	3	657321.5.peg.933.site.15
-A-	---	A	35	G	1	657321.5.peg.933.site.16
-A-	---	A	33	G	3	657321.5.peg.933.site.17
-A-	---	A	34	G	2	657321.5.peg.933.site.18
