species_id	genome_length	covered_bases	fraction_covered	mean_coverage	aligned_reads	mapped_reads
Streptococcus_mitis_60474	1923145	768949	0.399839325688	7.01108526053	369425	56180
Haemophilus_parainfluenzae_57123	2107814	667360	0.316612376614	11.0654564253	376657	77341
Streptococcus_mitis_60170	1873245	651681	0.347888823939	6.37182916181	301575	43246
Haemophilus_parahaemolyticus_60505	2037768	1362725	0.668734124788	5.0071584509	142988	71612
Gemella_haemolysans_61762	1916192	1343778	0.701275237554	9.42616339901	240866	131472
Haemophilus_paraphrohaemolyticus_58563	2021208	1285181	0.635847968146	6.02435610237	166034	81520
Haemophilus_parainfluenzae_62356	2086875	684076	0.327799221324	5.82319069811	392313	41586
Haemophilus_haemolyticus_58348	1915087	1086596	0.567387277967	13.8021803872	301638	157641
Haemophilus_parainfluenzae_62468	2124757	736178	0.346476326469	8.97742257987	398554	68924
Streptococcus_mitis_58556	1986919	542870	0.273222008547	6.86313297843	298220	38862
Streptococcus_mitis_58288	1831081	633120	0.34576296734	5.70260298206	348812	37575
