Bacl	Dsim	Allele1	BAC	Allele2	BAC	SNPid
-A-	---	A	45	G	0	908612.3.peg.1798.site.1
-A-	---	A	43	G	2	908612.3.peg.1798.site.2
-A-	---	A	41	G	4	908612.3.peg.1798.site.3
-A-	---	A	44	G	1	908612.3.peg.1249.site.1
-A-	---	A	10	G	14	908612.3.peg.1248.site.1
-A-	---	A	16	G	28	908612.3.peg.1248.site.2
-A-	---	A	38	G	6	908612.3.peg.1248.site.3
-A-	---	A	39	G	5	908612.3.peg.1248.site.4
-A-	---	A	43	G	1	908612.3.peg.1248.site.5
-A-	---	A	44	G	0	908612.3.peg.1248.site.6
-A-	---	A	9	G	33	908612.3.peg.1248.site.7
-A-	---	A	45	G	0	908612.3.peg.1248.site.8
-A-	---	A	44	G	0	908612.3.peg.1248.site.9
-A-	---	A	36	G	6	908612.3.peg.1248.site.10
-A-	---	A	39	G	1	908612.3.peg.1248.site.11
-A-	---	A	36	G	5	908612.3.peg.1248.site.12
-A-	---	A	10	G	31	908612.3.peg.1248.site.13
-A-	---	A	39	G	1	908612.3.peg.1248.site.14
-A-	---	A	19	G	22	908612.3.peg.1248.site.15
-A-	---	A	36	G	1	908612.3.peg.1248.site.16
-A-	---	A	31	G	5	908612.3.peg.1248.site.17
-A-	---	A	11	G	34	908612.3.peg.1248.site.18
-A-	---	A	11	G	34	908612.3.peg.1248.site.19
-A-	---	A	45	G	0	908612.3.peg.1795.site.1
-A-	---	A	12	G	33	908612.3.peg.1795.site.2
-A-	---	A	45	G	0	908612.3.peg.1795.site.3
-A-	---	A	44	G	0	908612.3.peg.1795.site.4
-A-	---	A	43	G	0	908612.3.peg.1795.site.5
-A-	---	A	45	G	0	908612.3.peg.1246.site.1
-A-	---	A	45	G	0	908612.3.peg.1246.site.2
-A-	---	A	43	G	2	908612.3.peg.1246.site.3
-A-	---	A	18	G	24	908612.3.peg.1246.site.4
-A-	---	A	16	G	29	908612.3.peg.1246.site.5
-A-	---	A	43	G	2	908612.3.peg.1246.site.6
-A-	---	A	45	G	0	908612.3.peg.1246.site.7
-A-	---	A	41	G	4	908612.3.peg.1246.site.8
-A-	---	A	37	G	0	908612.3.peg.1246.site.9
-A-	---	A	43	G	0	908612.3.peg.1246.site.10
-A-	---	A	45	G	0	908612.3.peg.1246.site.11
-A-	---	A	26	G	18	908612.3.peg.1245.site.1
-A-	---	A	37	G	1	908612.3.peg.1245.site.2
-A-	---	A	22	G	23	908612.3.peg.1244.site.1
-A-	---	A	45	G	0	908612.3.peg.1244.site.2
-A-	---	A	45	G	0	908612.3.peg.1244.site.3
-A-	---	A	35	G	10	908612.3.peg.1244.site.4
-A-	---	A	35	G	10	908612.3.peg.1244.site.5
-A-	---	A	45	G	0	908612.3.peg.1244.site.6
-A-	---	A	34	G	11	908612.3.peg.1244.site.7
-A-	---	A	45	G	0	908612.3.peg.1243.site.1
-A-	---	A	45	G	0	908612.3.peg.1242.site.1
-A-	---	A	30	G	15	908612.3.peg.1242.site.2
-A-	---	A	11	G	34	908612.3.peg.1242.site.3
-A-	---	A	44	G	0	908612.3.peg.1793.site.1
-A-	---	A	44	G	1	908612.3.peg.1793.site.2
-A-	---	A	44	G	1	908612.3.peg.1793.site.3
-A-	---	A	45	G	0	908612.3.peg.1793.site.4
-A-	---	A	15	G	27	908612.3.peg.1793.site.5
-A-	---	A	43	G	2	908612.3.peg.1792.site.1
-A-	---	A	44	G	1	908612.3.peg.1792.site.2
